"ATGC","X.1","Salario.Julio.2018","Sueldo.Basico.NCA","Fondo.de.Garantia.NCA","Suplemento.Fijo.Mensual.NCA","Adicional.Categoria.T","Adicional.Categoria.P","CUILS.tipo","CUILS.digito","SEXO"
"GGU-INI-04/G","GGUINI4G","22315,7","19498,06","867,68","1949,96","","",20,5,"M"
"SGM-INI-04/G","SGMINI4G","21816","18998,36","867,68","1949,96","","",20,3,"M"
"GGU-AVA-11/G","GGUAVA11G","38676,41","35858,77","867,68","1949,96","","",20,8,"M"
"GGU-INI-11/G","GGUINI11G","27047,73","24230,09","867,68","1949,96","","",20,0,"M"
"SGM-AVA-10/G","SGMAVA10G","30129,91","27312,27","867,68","1949,96","","",20,2,"M"
"AAS-AVA-08/P","AASAVA8P","33147,83","26778,64","867,68","1949,96","","3551,55",20,6,"M"
"GGU-AVA-10/T","GGUAVA10T","37270","32342,74","867,68","1949,96","2109,62","",20,3,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,5,"M"
"GGU-MED-09/G","GGUMED9G","28231,25","25413,61","867,68","1949,96","","",20,2,"M"
"GGU-INI-09/G","GGUINI9G","25495,09","22677,45","867,68","1949,96","","",20,2,"M"
"GGU-MED-05/P","GGUMED5P","27030,55","21316,78","867,68","1949,96","","2896,13",20,3,"M"
"AAS-AVA-07/P","AASAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,0,"M"
"GGU-MED-11/G","GGUMED11G","31124,95","28307,31","867,68","1949,96","","",20,5,"M"
"EME-INI-09/G","EMEINI9G","24924,19","22106,55","867,68","1949,96","","",20,7,"M"
"GGU-INI-11/G","GGUINI11G","27047,73","24230,09","867,68","1949,96","","",20,0,"M"
"GGU-AVA-07/G","GGUAVA7G","27921,02","25103,38","867,68","1949,96","","",20,9,"M"
"GGU-MED-06/P","GGUMED6P","27841,47","22040,81","867,68","1949,96","","2983,01",20,6,"M"
"SGM-MED-09/G","SGMMED9G","26557,71","23740,07","867,68","1949,96","","",20,5,"M"
"GGU-AVA-10/G","GGUAVA10G","35160,38","32342,74","867,68","1949,96","","",20,4,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,8,"M"
"IVE-MED-04/P","IVEMED4P","25655,62","20089,16","867,68","1949,96","","2748,82",20,9,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,3,"M"
"GGU-MED-09/G","GGUMED9G","28231,25","25413,61","867,68","1949,96","","",20,5,"M"
"GGU-INI-07/G","GGUINI7G","24031,56","21213,92","867,68","1949,96","","",20,8,"M"
"GGU-MED-07/G","GGUMED7G","25852,79","23035,15","867,68","1949,96","","",20,9,"M"
"AAS-MED-05/G","AASMED5G","24134,42","21316,78","867,68","1949,96","","",20,4,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,5,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,2,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,5,"M"
"ACI-MED-08/G","ACIMED8G","26284,84","23467,2","867,68","1949,96","","",20,7,"M"
"GGU-MED-05/P","GGUMED5P","27030,55","21316,78","867,68","1949,96","","2896,13",20,2,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,4,"M"
"GGU-AVA-07/P","GGUAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,9,"M"
"SGM-MED-09/G","SGMMED9G","26557,71","23740,07","867,68","1949,96","","",20,8,"M"
